producttype_ID,iscanvas_ID,industry_ID,crtsize_ID,origindesturlhash_ID,corporationgrouplabelid_ID,checktype_ID
7.0,0.0,9.0,2.0,2.0,249.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
7.0,0.0,9.0,2.0,2.0,249.0,0.0
6.0,0.0,81.0,0.0,2.0,0.0,0.0
7.0,0.0,9.0,2.0,2.0,249.0,0.0
8.0,1.0,127.0,4.0,-1.0,93.0,0.0
7.0,0.0,9.0,2.0,2.0,249.0,0.0
2.0,0.0,28.0,2.0,482.0,302.0,0.0
7.0,0.0,9.0,2.0,2.0,249.0,0.0
2.0,1.0,171.0,4.0,236.0,274.0,0.0
7.0,0.0,9.0,2.0,2.0,249.0,0.0
6.0,0.0,68.0,0.0,2.0,0.0,0.0
7.0,0.0,9.0,2.0,2.0,249.0,0.0
2.0,1.0,36.0,4.0,236.0,551.0,0.0
7.0,0.0,9.0,2.0,2.0,249.0,0.0
2.0,1.0,150.0,4.0,482.0,117.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
2.0,0.0,44.0,2.0,482.0,0.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
2.0,1.0,171.0,4.0,236.0,311.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
7.0,1.0,10.0,5.0,208.0,343.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
6.0,0.0,30.0,0.0,2.0,0.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
2.0,1.0,82.0,5.0,482.0,0.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
7.0,0.0,23.0,2.0,171.0,0.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
8.0,1.0,122.0,4.0,-1.0,109.0,0.0
4.0,1.0,182.0,5.0,780.0,509.0,0.0
0.0,1.0,1.0,4.0,236.0,0.0,0.0
0.0,1.0,5.0,4.0,236.0,54.0,0.0
7.0,1.0,17.0,4.0,906.0,498.0,0.0
